##########################################################################################
# OpenQASM SupermarQ VQEProxy Benchmark (9 Qubits, 4 Layers, z Basis) #
##########################################################################################
--- OpenQASM 2.0 ---
OPENQASM 2.0;
include "qelib1.inc";
qreg q[9];
creg m0[9];
rx(-pi/2) q[0];
rz(2.2569177131532747) q[0];
rx(0.0013014712571237915) q[1];
rz(1.621764524909299) q[1];
rxx(-pi/2) q[0],q[1];
rz(-2.7609516240142717) q[0];
rx(2.7875733738283746) q[0];
rz(1.6340886371327032) q[0];
rz(1.5734644725597553) q[1];
rx(1.674863478785079) q[1];
rz(-3.1159132094649244) q[1];
rx(-0.08996143474317612) q[2];
rz(1.572235436810697) q[2];
rxx(-pi/2) q[1],q[2];
rz(-0.09784725665954852) q[1];
rx(0.4394616810943798) q[1];
rz(1.9973972388983325) q[1];
rxx(pi/2) q[0],q[1];
rz(2.6876305086489882) q[0];
rx(2.1443605053351136) q[0];
rz(2.165676865104328) q[0];
rz(pi/2) q[1];
rx(-pi/2) q[1];
rz(2.9952635936515284) q[2];
rx(1.5550143529640257) q[2];
rz(-1.568470440910164) q[2];
rx(1.2283371210296432) q[3];
rz(1.6742533489396045) q[3];
rxx(-pi/2) q[2],q[3];
rz(-0.2063569302225936) q[2];
rx(1.8135470033628884) q[2];
rz(2.2540878827208486) q[2];
rxx(pi/2) q[1],q[2];
rz(0.07132693702907522) q[1];
rx(1.3001108647392725) q[1];
rz(-1.643922933625483) q[1];
rxx(pi/2) q[0],q[1];
rz(-2.380728760027657) q[0];
rx(2.959307104710565) q[0];
rz(-2.0456498766085307) q[0];
rz(pi/2) q[1];
rx(-pi/2) q[1];
rz(pi/2) q[2];
rx(-pi/2) q[2];
rz(-0.570773411101273) q[3];
rx(1.5398250781249596) q[3];
rz(1.590675936414934) q[3];
rx(2.4007001967878137) q[4];
rz(1.0361366148156028) q[4];
rxx(-pi/2) q[3],q[4];
rz(2.529741786878165) q[3];
rx(1.3163056094210592) q[3];
rz(1.4081502481709025) q[3];
rxx(pi/2) q[2],q[3];
rz(2.7484359427626135) q[2];
rx(0.6022157234051186) q[2];
rz(0.44372586997506946) q[2];
rxx(pi/2) q[1],q[2];
rz(0.048756414372990164) q[1];
rx(0.36673480296747735) q[1];
rz(2.8618098568897112) q[1];
rxx(pi/2) q[0],q[1];
rz(-1.5084618201985673) q[0];
rx(-pi/2) q[0];
rz(pi/2) q[1];
rx(-pi/2) q[1];
rz(pi/2) q[2];
rx(-pi/2) q[2];
rz(pi/2) q[3];
rx(-pi/2) q[3];
rz(-0.8928879798112521) q[4];
rx(1.234690023926531) q[4];
rz(-1.1820408624733676) q[4];
rx(-0.02185496878139938) q[5];
rz(2.130023427623968) q[5];
