##########################################################################################
# OpenQASM SupermarQ VQEProxy Benchmark (9 Qubits, 3 Layers, z Basis) #
##########################################################################################
--- OpenQASM 2.0 ---
OPENQASM 2.0;
include "qelib1.inc";
qreg q[9];
creg m0[9];
rx(-pi/2) q[0];
rz(3.116907156088585) q[0];
rx(-0.266068716308351) q[1];
rz(0.6665753837103594) q[1];
rxx(-pi/2) q[0],q[1];
rz(2.1017265368023095) q[0];
rx(2.009144809412659) q[0];
rz(1.2069860343552827) q[0];
rz(-0.9437650793061585) q[1];
rx(0.5337631983326152) q[1];
rz(2.4419646412485836) q[1];
rx(-2.3116664592136336) q[2];
rz(1.3306300008863623) q[2];
rxx(-pi/2) q[1],q[2];
rz(2.888535745072228) q[1];
rx(2.9293152659937025) q[1];
rz(-0.3473815110215872) q[1];
rxx(pi/2) q[0],q[1];
rz(0.4210843756491274) q[0];
rx(2.3667022896414944) q[0];
rz(-1.4631933202747183) q[0];
rz(pi/2) q[1];
rx(-pi/2) q[1];
rz(0.8759771339658844) q[2];
rx(1.7092048421408113) q[2];
rz(-1.4067506909802616) q[2];
rx(-2.436495661795304) q[3];
rz(1.821796164118286) q[3];
rxx(-pi/2) q[2],q[3];
rz(-2.232789668814381) q[2];
rx(1.6048998538685066) q[2];
rz(1.364201388927608) q[2];
rxx(pi/2) q[1],q[2];
rz(-1.155666357235983) q[1];
rx(1.5505389470405067) q[1];
rz(2.5977237710949588) q[1];
rxx(pi/2) q[0],q[1];
rz(2.9540159750397432) q[0];
rx(-pi/2) q[0];
rz(pi/2) q[1];
rx(-pi/2) q[1];
rz(pi/2) q[2];
rx(-pi/2) q[2];
rz(1.3809980431677795) q[3];
rx(1.5157919112025435) q[3];
rz(1.2920735985400373) q[3];
rx(0.41532343899693636) q[4];
rz(1.6432212394729842) q[4];
rxx(-pi/2) q[3],q[4];
rz(2.767479157955534) q[3];
rx(0.5559810955185867) q[3];
rz(-2.9688740486470504) q[3];
rxx(pi/2) q[2],q[3];
rz(0.8727673241074019) q[2];
rx(0.5579798797457516) q[2];
rz(-0.04923794466349252) q[2];
rxx(pi/2) q[1],q[2];
rz(1.14425136198785) q[1];
rx(-pi/2) q[1];
rz(pi/2) q[2];
rx(-pi/2) q[2];
rz(pi/2) q[3];
rx(-pi/2) q[3];
rz(0.5104948574145052) q[4];
rx(1.428589750317492) q[4];
rz(1.4915935956362842) q[4];
rx(-2.008051696687664) q[5];
rz(2.2806471005592712) q[5];
rxx(-pi/2) q[4],q[5];
rz(0.48659031885124726) q[4];
rx(1.32849760717426) q[4];
rz(0.20315135522451389) q[4];
rxx(pi/2) q[3],q[4];
rz(0.8596312817563874) q[3];
