##########################################################################################
# OpenQASM SupermarQ VQEProxy Benchmark (4 Qubits, 2 Layers, z Basis) #
##########################################################################################
--- OpenQASM 2.0 ---
OPENQASM 2.0;
include "qelib1.inc";
qreg q[4];
creg m0[4];
rx(pi/2) q[0];
rz(1.5561175593333587) q[0];
rx(-3.1388608049762086) q[1];
rz(1.5051853041517873) q[1];
rxx(-pi/2) q[0],q[1];
rz(0.026718429698618262) q[0];
rx(1.842825885388726) q[0];
rz(-3.117928098053211) q[0];
rz(-1.5626805837295605) q[1];
rx(1.763161873432847) q[1];
rz(-3.0991666973403724) q[1];
rx(0.065195836069871) q[2];
rz(1.825470653501693) q[2];
rxx(-pi/2) q[1],q[2];
rz(-1.4764880091575872) q[1];
rx(1.5409990413711663) q[1];
rz(0.8023860268283931) q[1];
rxx(pi/2) q[0],q[1];
rz(-1.0367579290624152) q[0];
rx(-pi/2) q[0];
rz(pi/2) q[1];
rx(-pi/2) q[1];
rz(1.7191857574957243) q[2];
rx(2.0892390490979738) q[2];
rz(-2.8486002038704292) q[2];
rx(-1.9782543731751947) q[3];
rz(1.5161931947555196) q[3];
rxx(-pi/2) q[2],q[3];
rz(1.6558064495364535) q[2];
rx(1.5090098227772484) q[2];
rz(1.2561909242550646) q[2];
rxx(pi/2) q[1],q[2];
rz(2.120150214908298) q[1];
rx(-pi/2) q[1];
rz(pi/2) q[2];
rx(-pi/2) q[2];
rz(-1.793049350759774) q[3];
rx(2.7246516371094587) q[3];
rz(1.2767690341583364) q[3];
rxx(pi/2) q[2],q[3];
rz(1.9811930897297838) q[2];
rx(-pi/2) q[2];
rz(2.4064260538163786) q[3];
rx(-pi/2) q[3];
measure q[0] -> m0[0];
measure q[1] -> m0[1];
measure q[2] -> m0[2];
measure q[3] -> m0[3];
